Station ID,Station,Latitude,Longitude,Municipality,# of Docks
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,19
C32024,State Street at Channel Center,42.344137,-71.052608,Boston,19
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,15
C32027,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,Boston,15
C32028,The Lawn on D,42.344792,-71.044024,Boston,18
C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,18
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,14
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,15
C32032,Congress St at Northern Ave,42.34820322,-71.0376513,Boston,14
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.310599,-71.053927,Boston,14
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.3515431,-71.04573011,Boston,15
D32000,Cambridge St at Joy St,42.361174,-71.065142,Boston,15
D32001,New Balance - 20 Guest St,42.357402,-71.147782,Boston,15
D32002,Washington St at Waltham St,42.341522,-71.068922,Boston,15
D32003,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,Boston,27
D32004,Arch St at Franklin St,42.355402,-71.058087,Boston,23
D32005,Copley Square - Dartmouth St at Boylston St,42.349673,-71.077303,Boston,25
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,15
D32007,Boylston St at Arlington St,42.35255006,-71.06782079,Boston,22
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,15
D32009,Congress St at North St,42.360613,-71.057452,Boston,19
D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,18
D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,19
D32012,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,Boston,19
D32013,Boylston St at Berkeley St,42.350989,-71.073644,Boston,15
D32014,Tremont St at West St,42.354979,-71.063348,Boston,15
D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,15
D32016,Charles Circle - Charles St at Cambridge St,42.36062498,-71.07089996,Boston,15
D32017,Beacon St at Arlington St,42.355596,-71.07278,Boston,15
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.3475,-71.0441,Boston,19
D32019,Boylston St at Washington St,42.352409,-71.062679,Boston,15
D32020,Main St at Austin St,42.375603,-71.064608,Boston,11
D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,19
D32022,TD Garden - West End Park,42.36588482,-71.06454849,Boston,34
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,19
D32024,Charles st and Beacon St,42.356052,-71.069849,Boston,15
D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,19
D32027,Boylston St at Dartmouth St,42.350413,-71.07655,Boston,15
D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,16
D32029,Washington St at Brock St,42.34900494,-71.16041064,Boston,15
D32031,Oak Square - 615 Washington St,42.35048162,-71.16636693,Boston,15
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,15
E32003,Hyde Square - Barbara St at Centre St,42.320998,-71.110833,Boston,15
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,15
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,15
E32006,Jackson Square T Stop,42.32285835,-71.10034391,Boston,19
E32007,S Huntington Ave at Heath St,42.3279727,-71.11089706,Boston,15
K32001,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,Brookline,19
K32002,Washington Square at Washington St. / Beacon St.,42.339335,-71.13493,Brookline,15
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,Brookline,15
K32005,Brookline Village - Station Street @ MBTA,42.33289074,-71.11658335,Brookline,15
K32006,Commonwealth Ave At Babcock St,42.3515473,-71.1212625,Brookline,19
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge,19
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,19
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,Cambridge,15
M32004,Kendall T,42.36242784,-71.08495474,Cambridge,23
M32005,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Cambridge,35
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,27
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,15
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,15
M32010,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Cambridge,19
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,19
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,17
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,19
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,15
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.37199165,-71.12226963,Cambridge,23
M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge,15
M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge,19
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,15
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,19
M32021,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Cambridge,15
M32022,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Cambridge,19
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge,17
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,19
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,19
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,19
M32027,Binney St / Sixth St,42.366095,-71.086388,Cambridge,19
M32029,Porter Square Station,42.387995,-71.119084,Cambridge,19
M32030,Dana Park,42.36178044,-71.10809952,Cambridge,19
M32031,Danehy Park,42.388966,-71.132788,Cambridge,17
M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,15
M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,23
M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,23
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,19
M32037,Ames St at Main St,42.3625,-71.08822,Cambridge,19
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,Cambridge,19
M32039,Lesley University,42.38674802,-71.11901879,Cambridge,15
M32040,University Park,42.36264779,-71.10006094,Cambridge,19
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Cambridge,19
M32042,MIT Vassar St,42.35560121,-71.10394478,Cambridge,25
M32043,Mt Auburn,42.37478629,-71.13320231,Cambridge,19
M32045,Museum of Science,42.3676902,-71.0711628,Cambridge,19
M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Cambridge,23
M32047,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,Cambridge,19
M32048,Third at Binney,42.36544486,-71.08277142,Cambridge,15
M32049,Brian P. Murphy Staircase at Child Street,42.3720597,-71.07202649,Cambridge,23
M32050,Verizon Innovation Hub 10 Ware Street,42.3725086,-71.1130536,Cambridge,19
M32051,Fresh Pond Reservation,42.3826783,-71.143479,Cambridge,19
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.3711973,-71.0975987,Cambridge,19
S32001,Somerville City Hall,42.386844,-71.09812,Somerville,15
S32002,Union Square - Somerville,42.379637,-71.095319,Somerville,19
S32003,Beacon St at Washington / Kirkland,42.37842,-71.105668,Somerville,15
S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,Somerville,15
S32005,Wilson Square,42.385582,-71.113341,Somerville,15
S32006,Davis Square,42.396969,-71.123024,Somerville,25
S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,15
S32009,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,Somerville,15
S32010,Clarendon Hill at Broadway,42.39082,-71.10942,Somerville,15
S32011,Teele Square at 239 Holland St,42.402763,-71.126908,Somerville,15
S32013,Magoun Square at Trum Field,42.398365,-71.107818,Somerville,15
S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,15
Silber Way,Silber Way,42.349496,-71.1005759,Brookline,19
